quality_score,dataset_title,resource_name,resource_format,row_count,columns,components,question
8.5,Indikatorenatlas: Verkehr - Motorisierungsgrad Personenkraftwagen,Motorisierungsgrad Personenkraftwagen,csv,1352,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Verkehr - Motorisierungsgrad Personenkraftwagen and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Verkehr - Erstzulassungsanteil Personenkraftwagen,Erstzulassungsanteil Personenkraftwagen,csv,1040,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Verkehr - Erstzulassungsanteil Personenkraftwagen and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Kinderbetreuung - Einrichtungsträger,Träger der Einrichtung,csv,988,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Kinderbetreuung - Einrichtungsträger and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Kinderbetreuung - Betreuungsangebot,Betreuungsangebot,csv,494,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Kinderbetreuung - Betreuungsangebot and compare Indikatorwert by Indikator.
8.5,Indikatorenatlas: Kinderbetreuung - Altersgruppen Familiensprache nichtdeutsch,Altersgruppen Familiensprache nichtdeutsch,csv,1482,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Kinderbetreuung - Altersgruppen Familiensprache nichtdeutsch and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Kinderbetreuung - Altersgruppen,Altersgruppen,csv,1482,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Kinderbetreuung - Altersgruppen and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Grundschüler*innen - Staatsangehörigkeit,Staatsangehörigkeit,csv,250,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Grundschüler*innen - Staatsangehörigkeit and compare Indikatorwert by Indikator.
8.5,Indikatorenatlas: Grundschüler*innen - Grundschüler*innen,Grundschüler*innen,csv,468,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Grundschüler*innen - Grundschüler*innen and compare Indikatorwert by Indikator.
8.5,Indikatorenatlas: Grundschüler*innen - Familiensprache - nichtdeutsch,Familiensprache - nichtdeutsch,csv,468,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Grundschüler*innen - Familiensprache - nichtdeutsch and compare Indikatorwert by Indikator.
8.5,Indikatorenatlas: Gesundheit - Zahnärzt*Zahnärztin-Dichte,Zahnärzt*Zahnärztin-Dichte,csv,286,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Gesundheit - Zahnärzt*Zahnärztin-Dichte and compare Indikatorwert by Indikator.
8.5,Indikatorenatlas: Gesundheit - Psychologische*r Psychotherapeut*in-Dichte,Psychologische*r Psychotherapeut*in-Dichte,csv,858,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Gesundheit - Psychologische*r Psychotherapeut*in-Dichte and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Gesundheit - Arzt*Ärztin-Dichte,Arzt*Ärztin-Dichte,csv,2002,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Gesundheit - Arzt*Ärztin-Dichte and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Gesundheit - Apotheken-Dichte,Apotheken-Dichte,csv,286,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Gesundheit - Apotheken-Dichte and compare Indikatorwert by Indikator.
8.5,Indikatorenatlas: Flächen - Flächennutzung,Flächennutzung,csv,1170,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Flächen - Flächennutzung and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Baugenehmigungen,Baugenehmigungen,csv,1872,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Baugenehmigungen and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Baufertigstellungen,Baufertigstellungen,csv,,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Baufertigstellungen and compare Basiswert 1 by Ausprägung.
8.5,Indikatorenatlas: Arbeitsmarkt - Sozialversicherungspflichtig Beschäftigte - Anteil,Sozialversicherungspflichtig Beschäftigte - Anteil,csv,3250,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Arbeitsmarkt - Sozialversicherungspflichtig Beschäftigte - Anteil and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Arbeitsmarkt - Sozialversicherungspflichtig Beschäftigte,Sozialversicherungspflichtig Beschäftigte,csv,2750,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Arbeitsmarkt - Sozialversicherungspflichtig Beschäftigte and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Arbeitsmarkt - Erwerbsfähige,Erwerbsfähige,csv,3250,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Arbeitsmarkt - Erwerbsfähige and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Arbeitsmarkt - Arbeitslosen - Anteil,Arbeitslose - Anteil,csv,3250,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Arbeitsmarkt - Arbeitslosen - Anteil and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Arbeitsmarkt - Arbeitslose,Arbeitslose,csv,4550,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Arbeitsmarkt - Arbeitslose and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Arbeitsmarkt - (Regel-)Leistungsberechtigte erwerbsfähig,(Regel-)Leistungsberechtigte - erwerbsfähig,csv,1976,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Arbeitsmarkt - (Regel-)Leistungsberechtigte erwerbsfähig and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Arbeitsmarkt - (Regel-)Leistungsberechtigte - nicht erwerbsfähig - Anteil,(Regel-)Leistungsberechtigte - nicht erwerbsfähig - Anteil,csv,494,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Arbeitsmarkt - (Regel-)Leistungsberechtigte - nicht erwerbsfähig - Anteil and compare Indikatorwert by Indikator.
8.5,Indikatorenatlas: Arbeitsmarkt - (Regel-)Leistungsberechtigte - erwerbsfähig - Anteil,(Regel-)Leistungsberechtigte - erwerbsfähig - Anteil ,csv,2470,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Arbeitsmarkt - (Regel-)Leistungsberechtigte - erwerbsfähig - Anteil and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Bevölkerung - Altersgruppen,Altersgruppen,csv,6760,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Altersgruppen and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Bevölkerung - Außenwanderungsvolumen,Außenwanderungsvolumen,csv,676,11,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Außenwanderungsvolumen and compare Indikatorwert by Indikator.
8.5,Indikatorenatlas: Bevölkerung - Außenwanderungsziffer 65 Jahre und älter,Außenwanderungsziffer 65 Jahre und älter,csv,4056,11,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Außenwanderungsziffer 65 Jahre und älter and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Bevölkerung - Außenwanderungsziffer Gesamt,Außenwanderungsziffer Gesamt,csv,4056,11,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Außenwanderungsziffer Gesamt and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Bevölkerung - Außenwanderungsziffer Kinder bis 13 Jahre,Außenwanderungsziffer Kinder unter 14 Jahre,csv,4056,11,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Außenwanderungsziffer Kinder bis 13 Jahre and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Bevölkerung - Außenwanderungsziffer Nichtdeutsche,Außenwanderungsziffer Nichtdeutsche,csv,4056,11,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Außenwanderungsziffer Nichtdeutsche and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Bevölkerung - Bevölkerungsanteil,Bevolkerungsanteil,csv,676,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Bevölkerungsanteil and compare Indikatorwert by Indikator.
8.5,Indikatorenatlas: Bevölkerung - Bevölkerungsdichte,Bevölkerungsdichte,csv,624,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Bevölkerungsdichte and compare Indikatorwert by Indikator.
8.5,Indikatorenatlas: Bevölkerung - Binnenwanderungsziffer,Binnenwanderungsziffer,csv,2028,11,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Binnenwanderungsziffer and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Bevölkerung - Durchschnittsalter,Altersdurchschnitt,csv,2028,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Durchschnittsalter and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Bevölkerung - Durchschnittsalter Gestorbene,Durchschnittsalter Gestorbene,csv,4056,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Durchschnittsalter Gestorbene and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Bevölkerung - Durchschnittsalter Mütter,Durchschnittsalter Mütter,csv,2028,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Durchschnittsalter Mütter and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Bevölkerung - Durchschnittsalter Mütter erstgebärend,Durchschnittsalter Mütter erstgebärend,csv,858,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Durchschnittsalter Mütter erstgebärend and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Bevölkerung - Eingebürgerte,Eingebürgerte,csv,1482,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Eingebürgerte and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Bevölkerung - Einpersonenhaushalte,Einpersonenhaushalte,csv,3276,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Einpersonenhaushalte and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Bevölkerung - Frauen,Frauenanteil,csv,2028,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Frauen and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Bevölkerung - Frauen Hochbetagte,Frauen Hochbetagte,csv,2028,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Frauen Hochbetagte and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Bevölkerung - Gesamtwanderungssaldo Kinder,Gesamtwanderungssaldo Kinder,csv,,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Gesamtwanderungssaldo Kinder and compare Basiswert 1 by Ausprägung.
8.5,Indikatorenatlas: Bevölkerung - Außenwanderungsziffer Deutsche,Außenwanderungsziffer Deutsche,csv,4056,11,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Außenwanderungsziffer Deutsche and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Bevölkerung - Altenquotient,Altenquotient,csv,2028,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Altenquotient and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Bevölkerung - Allgemeine Geburtenrate,Allgemeine Geburtenrate,csv,2028,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Allgemeine Geburtenrate and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Arbeitsmarkt - (Regel-)Leistungsberechtigte,(Regel-)Leistungsberechtigte,csv,988,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Arbeitsmarkt - (Regel-)Leistungsberechtigte and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Bevölkerung - Gesamtwanderungsziffer,Gesamtwanderungsziffer,csv,2028,11,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Gesamtwanderungsziffer and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Bevölkerung - Haushalte Alleinerziehend,Haushalte Alleinerziehend,csv,1456,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Haushalte Alleinerziehend and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Bevölkerung - Haushalte Staatsangehörigkeit,Haushalte Staatsangehörigkeit,csv,1092,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Haushalte Staatsangehörigkeit and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Bevölkerung - Haushalte mit Kindern,Haushalte mit Kindern,csv,1456,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Haushalte mit Kindern and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Bevölkerung - Hochbetagte,Hochbetagte,csv,2028,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Hochbetagte and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Bevölkerung - Innerräumliche Umzugsziffer,Innerräumliche Umzugsziffer,csv,2028,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Innerräumliche Umzugsziffer and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Bevölkerung - Jugendquotient,Jugendquotient,csv,2028,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Jugendquotient and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Bevölkerung - Migrationshintergrund,Migrationshintergrund,csv,5928,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Migrationshintergrund and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Bevölkerung - Migrationshintergrund - Kinder,Migrationshintergrund - Kinder,csv,4940,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Migrationshintergrund - Kinder and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Bevölkerung - Mobilitätsziffer,Mobilitätsziffer,csv,2028,12,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Mobilitätsziffer and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Bevölkerung - Mütter ab 35 Jahre,Mütter ab 35 Jahre,csv,2028,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Mütter ab 35 Jahre and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Bevölkerung - Natürlicher Saldo,Natürlicher Saldo ,csv,2028,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Natürlicher Saldo and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Bevölkerung - Nichtdeutsche,Nichtdeutsche,csv,676,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Nichtdeutsche and compare Indikatorwert by Indikator.
8.5,Indikatorenatlas: Bevölkerung - Optionskinder,Optionskinder,csv,1482,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Optionskinder and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Bevölkerung - Religionszugehörigkeit,Religionszugehörigkeit,csv,2028,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Religionszugehörigkeit and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Bevölkerung - Rohe Geburtenrate,Rohe Geburtenrate,csv,2028,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Rohe Geburtenrate and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Bevölkerung - Rohe Sterberate,Rohe Sterberate,csv,2028,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Rohe Sterberate and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Bevölkerung - Wohndauer Adresse,Wohndauer Adresse,csv,2028,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Wohndauer Adresse and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Bevölkerung - Wohndauer München,Wohndauer München,csv,2028,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Wohndauer München and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Bevölkerung - Zusammengefasste Geburtenrate,Zusammengefasste Geburtenrate,csv,2028,5,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Zusammengefasste Geburtenrate and compare Indikatorwert by Auspragung.
8.5,Indikatorenatlas: Bevölkerung - Überalterungsquotient,Überalterungsquotient,csv,2028,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Indikatorenatlas: Bevölkerung - Überalterungsquotient and compare Indikatorwert by Auspragung.
8.5,Monatszahlen Witterung,Monatszahlen Witterung,csv,2346,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Monatszahlen Witterung and compare MONAT by MONATSZAHL.
8.5,Monatszahlen Wirtschaft,Monatszahlen Wirtschaft,csv,5996,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Monatszahlen Wirtschaft and compare MONAT by AUSPRAEGUNG.
8.5,Monatszahlen Verkehrsunfälle,Monatszahlen Verkehrsunfälle,csv,2450,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Monatszahlen Verkehrsunfälle and compare MONAT by MONATSZAHL.
8.5,Monatszahlen Tourismus,Monatszahlen Tourismus,csv,1632,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Monatszahlen Tourismus and compare MONAT by MONATSZAHL.
8.5,Monatszahlen Theater,Monatszahlen Theater,csv,6006,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Monatszahlen Theater and compare MONAT by AUSPRAEGUNG.
8.5,Monatszahlen Soziale Leistungen,Monatszahlen Soziale Leistungen,csv,3420,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Monatszahlen Soziale Leistungen and compare MONAT by AUSPRAEGUNG.
8.5,Monatszahlen Orchester,Monatszahlen Orchester,csv,2048,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Monatszahlen Orchester and compare MONAT by MONATSZAHL.
8.5,Monatszahlen Museen,Monatszahlen Museen,csv,3429,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Monatszahlen Museen and compare MONAT by AUSPRAEGUNG.
8.5,Monatszahlen Kinos,Monatszahlen Kinos,csv,349,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Monatszahlen Kinos and compare MONAT by MONATSZAHL.
8.5,Monatszahlen KFZ-Bestand,Monatszahlen KFZ-Bestand,csv,11568,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Monatszahlen KFZ-Bestand and compare MONAT by AUSPRAEGUNG.
8.5,Monatszahlen Freizeit,Monatszahlen Freizeit,csv,2477,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Monatszahlen Freizeit and compare MONAT by AUSPRAEGUNG.
8.5,Monatszahlen Flugverkehr,Monatszahlen Flugverkehr,csv,2800,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Monatszahlen Flugverkehr and compare MONAT by AUSPRAEGUNG.
8.5,Monatszahlen Feuerwehr München,Monatszahlen Feuerwehr,csv,2996,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Monatszahlen Feuerwehr München and compare MONAT by MONATSZAHL.
8.5,Monatszahlen Einbürgerungen,Monatszahlen Einbürgerungen,csv,1180,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Monatszahlen Einbürgerungen and compare MONAT by MONATSZAHL.
8.5,Monatszahlen Bevölkerung,Monatszahlen Bevölkerung,csv,27439,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Monatszahlen Bevölkerung and compare MONAT by AUSPRAEGUNG.
8.5,Monatszahlen Bauen,Monatszahlen Bauen,csv,1790,9,"InsightCard,MetricGrid,BarChart,DataTable",Summarize Monatszahlen Bauen and compare MONAT by MONATSZAHL.
